feature,mean_abs_shap
c_SLogP,4.122418658427175
nc_SlogP_VSA11,2.0488402248443913
c_AETA_beta_ns_d,1.9697045520133825
c_ETA_dEpsilon_D,1.6273493941950663
c_ATSC1i,1.5306255764523995
c_ETA_dEpsilon_B,1.4295483715170265
nc_BertzCT,1.04487553020986
c_SMR_VSA3,0.9158247033830476
c_NaasC,0.8366054142006333
nc_piPC2,0.7937722195227208
nc_SMR_VSA9,0.751141011817146
nc_FilterItLogS,0.7498994847462469
c_VSA_EState3,0.5203384267332944
nc_VSA_EState3,0.5176225884628853
c_Mi,0.4980737658299067
c_BCUTi-1l,0.4899751501206834
c_SsOH,0.43780524064123744
c_nAcid,0.43434746211116454
c_ATSC8dv,0.4291362850635978
c_BCUTm-1l,0.4042406478187829
c_ETA_dBeta,0.40398230851068423
c_AATS0i,0.4014592389418816
nc_SLogP,0.3930831603123717
c_FilterItLogS,0.3819742719352237
nc_ATS8dv,0.3694629716530982
c_FCSP3,0.3584943944471318
c_ATSC8m,0.33400534651564817
nc_ATSC1p,0.31684575263981496
nc_SMR_VSA3,0.3126768909447452
nc_Mi,0.3041960890181529
nc_ATSC2d,0.2952047015740049
c_BCUTZ-1l,0.29410041854335833
nc_ATSC1i,0.28377237173798103
nc_SdsCH,0.2772926046742725
nc_ATSC2i,0.2757332174867891
nc_Mp,0.27164006487800774
nc_ATSC6p,0.2700444427241902
nc_PEOE_VSA6,0.26689337695279064
nc_TopoPSA,0.26583670847081653
c_ETA_beta_ns_d,0.2609214681843536
c_BertzCT,0.25916695536559115
c_BCUTpe-1l,0.25628285197764605
nc_ATSC5pe,0.2545436681812957
nc_ATSC6pe,0.2530334144063857
nc_SlogP_VSA10,0.2507624046578729
nc_C2SP2,0.24863716647394418
nc_NaasC,0.23127938447115823
c_ATSC8pe,0.2256488289308419
c_ATSC2i,0.22342241234960547
nc_ATSC3pe,0.22340917575111544
c_AATS0v,0.22299662054220806
nc_IC5,0.21704254457048514
c_SlogP_VSA2,0.21298036791389857
nc_GGI7,0.20987361224185233
c_TopoPSA,0.20964291566154022
c_ATSC2d,0.205000157785186
nc_ATS6dv,0.20375746613881673
nc_TopoPSA(NO),0.20270617424442405
c_C1SP3,0.2006442126268601
c_ATSC1Z,0.20045402915406624
nc_LabuteASA,0.19793648673117675
c_SlogP_VSA10,0.19776910489736912
c_nBase,0.19645465400589313
nc_AATS0p,0.19136393530299717
nc_ATSC7d,0.18968420200311112
nc_AATS0i,0.1862984172421118
nc_ATSC8pe,0.18620293420475062
c_VSA_EState8,0.18531778945565222
c_BCUTi-1h,0.18320785962204245
nc_ATSC3Z,0.18068879102011026
c_BCUTd-1l,0.17976377097310897
nc_ATSC8dv,0.17740166298222174
nc_ATSC3i,0.17448404827766148
c_ATSC1pe,0.17438282495363625
